Date (GMT),Open,High,Low,Last
2017/5/9,21740,22100,21700,21955
2017/5/10,22120,22250,22050,22135
2017/5/11,22200,22405,22015,22230
2017/5/12,22330,22335,22025,22120
2017/5/15,22070,22400,22070,22205
2017/5/16,21885,22100,21530,21710
2017/5/17,21665,22020,21615,21830
2017/5/18,21885,21975,21685,21795
2017/5/19,21260,21960,21190,21635
2017/5/22,22200,22850,22095,22490
2017/5/23,22650,22920,22575,22755
2017/5/24,22870,22965,22700,22820
2017/5/25,22945,23060,22660,22935
2017/5/26,22715,22885,22610,22770
2017/5/31,22750,23000,22605,22815
2017/6/1,22630,22720,22400,22520
2017/6/2,22535,22605,22410,22490
2017/6/5,22405,22525,22100,22300
2017/6/6,21660,22145,21660,21985
2017/6/7,21915,21990,21740,21870
2017/6/8,21885,22645,21885,22150
2017/6/9,22600,22960,22540,22740
2017/6/12,23400,23700,23275,23580
2017/6/13,23380,23380,22355,22670
2017/6/14,22400,22760,22200,22445
2017/6/15,22205,22700,22125,22250
2017/6/16,21565,21755,21420,21605
2017/6/19,21615,21810,21480,21640
2017/6/20,21915,22095,21875,21970
2017/6/21,22045,22090,21860,21990
2017/6/22,22200,22520,22185,22370
2017/6/23,22705,22850,22380,22490
2017/6/26,22500,22500,22125,22250
2017/6/27,22405,22670,22205,22355
2017/6/28,22605,22820,22605,22720
2017/6/29,22660,22930,22610,22785
2017/6/30,22790,22930,22545,22695
2017/7/3,22840,23325,22790,23015
2017/7/4,23240,23330,23040,23185
2017/7/5,23250,23420,23060,23265
2017/7/6,23055,23195,22930,23085
2017/7/7,23185,23340,23075,23170
2017/7/10,23305,23415,23000,23220
2017/7/11,23000,23360,22875,23115
2017/7/12,23240,23595,23230,23460
2017/7/13,23430,23470,23220,23345
2017/7/14,23180,23180,22870,22935
2017/7/17,23050,23250,22900,23095
2017/7/18,23275,23390,22895,23175
2017/7/19,22980,23120,22835,22955
2017/7/20,22910,23065,22745,22845
2017/7/21,22875,22990,22700,22890
2017/7/24,23005,23200,22775,23005
2017/7/25,23025,23380,23010,23180
2017/7/26,23365,23680,23280,23475
2017/7/27,23310,23445,23260,23345
2017/7/28,23305,23500,23030,23250
2017/7/31,23125,23490,23060,23270
2017/8/1,23400,23400,23035,23185
2017/8/2,23065,23260,22950,23060
2017/8/3,23110,23695,23110,23530
2017/8/4,23495,23730,23310,23540
2017/8/7,23575,23675,23225,23405
2017/8/8,23535,24110,23465,23870
2017/8/9,23775,24700,23775,24275
2017/8/10,24610,24650,24250,24360
2017/8/11,23280,24355,23270,24180
2017/8/14,24330,24370,24180,24300
2017/8/15,24260,24740,24235,24540
2017/8/16,24405,24915,24325,24655
2017/8/17,25095,26130,25090,25790
2017/8/18,26055,26485,25800,26130
2017/8/21,26415,26905,26005,26540
2017/8/22,26555,26610,26150,26365
2017/8/23,26540,26545,25820,26085
2017/8/24,26055,26455,25995,26200
2017/8/25,26155,26550,26050,26300
2017/8/28,26520,26560,25665,25965
2017/8/29,26085,26200,25695,25930
2017/8/30,25840,26000,25500,25810
2017/8/31,25770,25900,25635,25805
2017/9/1,25970,26290,25890,26100
2017/9/4,26150,26580,26060,26370
2017/9/5,26305,26425,26185,26305
2017/9/6,26195,26255,25170,25620
2017/9/7,25450,25650,25250,25440
2017/9/8,25485,25585,24940,25275
2017/9/11,25055,25320,24700,25085
2017/9/12,25390,25615,25200,25375
2017/9/13,25350,25605,25105,25325
2017/9/14,25150,25840,25010,25195
2017/9/15,25300,25565,24330,25345
2017/9/18,24885,25480,24500,25115
2017/9/19,25390,25840,25260,25625
2017/9/20,25550,25950,25345,25675
2017/9/21,25955,26030,25405,25690
2017/9/22,25550,25875,24930,25275
2017/9/25,25335,25660,24800,25365
2017/9/26,25510,26000,25475,25855
2017/9/27,25930,26395,25820,26085
2017/9/28,26225,26310,25850,26055
2017/9/29,26205,27125,26010,26365
2017/10/9,27140,27350,26920,27140
2017/10/10,26970,27190,26520,26910
2017/10/11,26620,27020,26600,26835
2017/10/12,26715,26880,26220,26565
2017/10/13,26850,26980,26675,26820
2017/10/16,27000,27000,26450,26590
2017/10/17,26405,26595,25810,26115
2017/10/18,25695,25840,25230,25560
2017/10/19,25800,25965,25555,25720
2017/10/20,25525,25985,25455,25775
2017/10/23,25880,25905,25415,25745
2017/10/24,25790,26200,25750,26060
2017/10/25,26130,26250,25860,26050
2017/10/26,26085,26455,26010,26275
2017/10/27,26325,26375,25850,26075
2017/10/30,25520,26565,25520,25995
2017/10/31,26180,26440,26000,26205
2017/11/1,26360,26995,26300,26690
2017/11/2,26495,26530,26235,26355
2017/11/3,26285,26470,26155,26335
